iter	Passed	Remaining
198	2989	19543
199	3003	19525
200	3017	19503
201	3031	19477
202	3046	19463
203	3060	19440
204	3074	19419
205	3087	19395
206	3102	19379
207	3117	19363
208	3131	19341
209	3145	19321
210	3160	19308
211	3175	19294
212	3190	19279
213	3204	19256
214	3217	19231
215	3231	19207
216	3244	19185
217	3258	19163
218	3271	19135
219	3284	19112
220	3299	19096
221	3313	19075
222	3328	19057
223	3343	19043
224	3357	19027
225	3372	19011
226	3387	18996
227	3402	18983
228	3418	18973
229	3433	18960
230	3447	18941
231	3462	18924
232	3477	18909
233	3491	18891
234	3506	18876
235	3520	18857
236	3535	18843
237	3552	18835
238	3568	18829
239	3584	18818
240	3599	18803
241	3615	18794
242	3630	18779
243	3644	18761
244	3661	18756
245	3675	18738
246	3689	18715
247	3704	18701
248	3719	18687
249	3734	18673
250	3748	18650
251	3763	18637
252	3778	18624
253	3792	18604
254	3807	18588
255	3822	18574
256	3837	18558
257	3852	18544
258	3866	18526
259	3881	18510
260	3895	18490
261	3910	18477
262	3925	18463
263	3939	18445
264	3955	18433
265	3969	18416
266	3985	18405
267	4001	18393
268	4016	18379
269	4033	18374
270	4048	18359
271	4062	18341
272	4076	18322
273	4091	18308
274	4107	18295
275	4122	18284
276	4138	18269
277	4151	18250
278	4167	18237
279	4182	18223
280	4198	18214
281	4214	18202
282	4229	18190
283	4244	18174
284	4259	18160
285	4273	18139
286	4288	18125
287	4302	18105
288	4317	18092
289	4331	18074
290	4347	18060
291	4362	18046
292	4377	18031
293	4391	18015
294	4407	18004
295	4423	17991
296	4437	17975
297	4452	17959
298	4467	17943
299	4483	17932
300	4498	17921
301	4514	17907
302	4529	17893
303	4545	17882
304	4560	17866
305	4574	17850
306	4588	17831
307	4602	17813
308	4617	17799
309	4631	17780
310	4647	17768
311	4662	17754
312	4677	17738
313	4692	17723
314	4707	17709
315	4722	17692
316	4736	17674
317	4752	17664
318	4767	17649
319	4782	17637
320	4798	17624
321	4813	17610
322	4827	17592
323	4842	17577
324	4856	17559
325	4870	17540
326	4885	17525
327	4899	17507
328	4913	17490
329	4927	17470
330	4940	17449
331	4954	17432
332	4969	17416
333	4985	17403
334	5001	17392
335	5015	17374
336	5029	17356
337	5042	17334
338	5056	17317
339	5071	17301
340	5086	17287
341	5101	17272
342	5115	17256
343	5129	17237
344	5144	17221
345	5157	17203
346	5172	17187
347	5185	17167
348	5199	17147
349	5214	17132
350	5230	17121
351	5245	17106
352	5259	17090
353	5274	17074
354	5288	17057
355	5302	17038
356	5317	17023
357	5331	17007
358	5345	16989
359	5357	16966
360	5372	16950
361	5387	16935
362	5402	16922
363	5416	16904
364	5431	16889
365	5445	16872
366	5460	16856
367	5475	16841
368	5490	16828
369	5504	16812
370	5520	16798
371	5534	16781
372	5547	16762
373	5562	16746
374	5576	16729
375	5590	16711
376	5604	16695
377	5620	16682
378	5635	16667
379	5649	16652
380	5664	16636
381	5678	16618
382	5692	16602
383	5707	16587
384	5722	16573
385	5737	16559
386	5751	16540
387	5766	16525
388	5780	16508
389	5794	16491
390	5808	16474
391	5822	16457
392	5836	16441
393	5851	16424
394	5865	16409
395	5879	16391
396	5893	16374
397	5908	16358
398	5923	16346
399	5937	16327
400	5950	16309
401	5965	16295
402	5980	16280
403	5995	16265
404	6010	16249
405	6024	16233
