date,hour,home_team,away_team,score,home_goals,away_goals,datetime,odds_1,result,over_under_25,odds_over_under_25,goal_no_goal,odds_goal_no_goal
13-05-2025,21:25:00,Danimarca,Portogallo,1-1,1,1,2025-05-13 21:25:00,326,X,"Under 2,5 Goal",130,GG,222
13-05-2025,21:20:00,Brasile,Germania,2-0,2,0,2025-05-13 21:20:00,232,1,"Under 2,5 Goal",130,NG,138
13-05-2025,21:15:00,Argentina,Croazia,0-1,0,1,2025-05-13 21:15:00,228,2,"Under 2,5 Goal",130,NG,138
13-05-2025,21:10:00,Nigeria,Turchia,0-0,0,0,2025-05-13 21:10:00,317,X,"Under 2,5 Goal",128,NG,137
13-05-2025,21:05:00,Croazia,Francia,3-1,3,1,2025-05-13 21:05:00,224,1,"Over 2,5 Goal",247,GG,221
13-05-2025,21:00:00,Colombia,Danimarca,0-1,0,1,2025-05-13 21:00:00,180,2,"Under 2,5 Goal",131,NG,140
13-05-2025,20:55:00,Nigeria,Spagna,1-2,1,2,2025-05-13 20:55:00,197,2,"Over 2,5 Goal",248,GG,219
13-05-2025,20:50:00,Brasile,Olanda,1-1,1,1,2025-05-13 20:50:00,326,X,"Under 2,5 Goal",130,GG,222
13-05-2025,20:45:00,Argentina,Inghilterra,0-1,0,1,2025-05-13 20:45:00,225,2,"Under 2,5 Goal",130,NG,138
13-05-2025,20:40:00,Nigeria,Portogallo,0-0,0,0,2025-05-13 20:40:00,307,X,"Under 2,5 Goal",129,NG,139
13-05-2025,20:35:00,Inghilterra,Svizzera,0-2,0,2,2025-05-13 20:35:00,246,2,"Under 2,5 Goal",129,NG,136
13-05-2025,20:30:00,Germania,Turchia,1-0,1,0,2025-05-13 20:30:00,209,1,"Under 2,5 Goal",130,NG,139
13-05-2025,20:25:00,Argentina,Francia,2-0,2,0,2025-05-13 20:25:00,225,1,"Under 2,5 Goal",130,NG,138
13-05-2025,20:20:00,Croazia,Germania,0-0,0,0,2025-05-13 20:20:00,324,X,"Under 2,5 Goal",130,NG,138
13-05-2025,20:15:00,Colombia,Inghilterra,1-0,1,0,2025-05-13 20:15:00,355,1,"Under 2,5 Goal",131,NG,140
13-05-2025,20:10:00,Belgio,Brasile,1-0,1,0,2025-05-13 20:10:00,281,1,"Under 2,5 Goal",129,NG,139
13-05-2025,20:05:00,Argentina,Cile,1-0,1,0,2025-05-13 20:05:00,227,1,"Under 2,5 Goal",130,NG,138
13-05-2025,20:00:00,Portogallo,Turchia,0-0,0,0,2025-05-13 20:00:00,313,X,"Under 2,5 Goal",128,NG,137
13-05-2025,19:55:00,Nigeria,Serbia,2-1,2,1,2025-05-13 19:55:00,252,1,"Over 2,5 Goal",251,GG,225
13-05-2025,19:50:00,Inghilterra,Spagna,0-2,0,2,2025-05-13 19:50:00,227,2,"Under 2,5 Goal",130,NG,138
13-05-2025,19:45:00,Germania,Olanda,1-2,1,2,2025-05-13 19:45:00,229,2,"Over 2,5 Goal",246,GG,222
13-05-2025,19:40:00,Francia,Portogallo,1-2,1,2,2025-05-13 19:40:00,223,2,"Over 2,5 Goal",247,GG,221
13-05-2025,19:35:00,Danimarca,Inghilterra,2-0,2,0,2025-05-13 19:35:00,237,1,"Under 2,5 Goal",130,NG,138
13-05-2025,19:30:00,Danimarca,Italia,1-0,1,0,2025-05-13 19:30:00,231,1,"Under 2,5 Goal",130,NG,138
13-05-2025,19:25:00,Argentina,Messico,1-2,1,2,2025-05-13 19:25:00,243,2,"Over 2,5 Goal",251,GG,226
13-05-2025,19:20:00,Cile,Italia,2-0,2,0,2025-05-13 19:20:00,235,1,"Under 2,5 Goal",130,NG,138
13-05-2025,19:15:00,Brasile,Svizzera,0-1,0,1,2025-05-13 19:15:00,245,2,"Under 2,5 Goal",129,NG,136
13-05-2025,19:10:00,Francia,Uruguay,0-1,0,1,2025-05-13 19:10:00,221,2,"Under 2,5 Goal",129,NG,136
13-05-2025,19:05:00,Germania,Portogallo,0-0,0,0,2025-05-13 19:05:00,325,X,"Under 2,5 Goal",130,NG,138
13-05-2025,19:00:00,Inghilterra,Turchia,1-0,1,0,2025-05-13 19:00:00,210,1,"Under 2,5 Goal",130,NG,139
13-05-2025,18:55:00,Spagna,Svizzera,1-0,1,0,2025-05-13 18:55:00,217,1,"Under 2,5 Goal",128,NG,137
13-05-2025,18:50:00,Croazia,Nigeria,3-0,3,0,2025-05-13 18:50:00,201,1,"Over 2,5 Goal",248,NG,139
13-05-2025,18:45:00,Colombia,Olanda,0-1,0,1,2025-05-13 18:45:00,176,2,"Under 2,5 Goal",131,NG,140
13-05-2025,18:40:00,Italia,Serbia,0-0,0,0,2025-05-13 18:40:00,315,X,"Under 2,5 Goal",128,NG,137
13-05-2025,18:35:00,Inghilterra,Serbia,2-0,2,0,2025-05-13 18:35:00,211,1,"Under 2,5 Goal",130,NG,139
13-05-2025,18:30:00,Messico,Svizzera,1-0,1,0,2025-05-13 18:30:00,232,1,"Under 2,5 Goal",130,NG,138
13-05-2025,18:25:00,Italia,Nigeria,1-0,1,0,2025-05-13 18:25:00,202,1,"Under 2,5 Goal",129,NG,139
13-05-2025,18:20:00,Messico,Olanda,1-1,1,1,2025-05-13 18:20:00,316,X,"Under 2,5 Goal",128,GG,225
13-05-2025,18:15:00,Italia,Svizzera,2-1,2,1,2025-05-13 18:15:00,222,1,"Over 2,5 Goal",247,GG,221
13-05-2025,18:10:00,Inghilterra,Olanda,1-1,1,1,2025-05-13 18:10:00,326,X,"Under 2,5 Goal",130,GG,222
13-05-2025,18:05:00,Francia,Turchia,2-1,2,1,2025-05-13 18:05:00,218,1,"Over 2,5 Goal",251,GG,225
13-05-2025,18:00:00,Belgio,Spagna,1-2,1,2,2025-05-13 18:00:00,199,2,"Over 2,5 Goal",248,GG,219
13-05-2025,17:55:00,Brasile,Italia,1-3,1,3,2025-05-13 17:55:00,233,2,"Over 2,5 Goal",247,GG,222
13-05-2025,17:50:00,Brasile,Portogallo,1-0,1,0,2025-05-13 17:50:00,228,1,"Under 2,5 Goal",130,NG,138
13-05-2025,17:45:00,Argentina,Uruguay,1-1,1,1,2025-05-13 17:45:00,324,X,"Under 2,5 Goal",130,GG,221
13-05-2025,17:40:00,Germania,Spagna,0-0,0,0,2025-05-13 17:40:00,327,X,"Under 2,5 Goal",130,NG,138
13-05-2025,17:35:00,Nigeria,Uruguay,2-2,2,2,2025-05-13 17:35:00,306,X,"Over 2,5 Goal",248,GG,219
